Module	Section	Sample Name	Source
FastQC	all_sections	BF248_S248_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF248_S248_L001_R1_001_fastqc.zip
FastQC	all_sections	BF251_S251_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF251_S251_L001_R2_001_fastqc.zip
FastQC	all_sections	BF262_S262_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF262_S262_L001_R1_001_fastqc.zip
FastQC	all_sections	BF246_S246_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF246_S246_L001_R2_001_fastqc.zip
FastQC	all_sections	BF5_S5_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF5_S5_L001_R2_001_fastqc.zip
FastQC	all_sections	BF255_S255_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF255_S255_L001_R1_001_fastqc.zip
FastQC	all_sections	BF246_S246_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF246_S246_L001_R1_001_fastqc.zip
FastQC	all_sections	BF254_S254_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF254_S254_L001_R1_001_fastqc.zip
FastQC	all_sections	BF261_S261_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF261_S261_L001_R1_001_fastqc.zip
FastQC	all_sections	BF256_S256_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF256_S256_L001_R2_001_fastqc.zip
FastQC	all_sections	BF259_S259_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF259_S259_L001_R2_001_fastqc.zip
FastQC	all_sections	BF249_S249_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF249_S249_L001_R1_001_fastqc.zip
FastQC	all_sections	BF7_S7_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF7_S7_L001_R2_001_fastqc.zip
FastQC	all_sections	BF257_S257_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF257_S257_L001_R2_001_fastqc.zip
FastQC	all_sections	BF248_S248_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF248_S248_L001_R2_001_fastqc.zip
FastQC	all_sections	BF4_S4_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF4_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	BF258_S258_L001_R2_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF258_S258_L001_R2_001_fastqc.zip
FastQC	all_sections	BF257_S257_L001_R1_001	/gpfs/fs1/home/kh455/haplotype_calling_pipeline/output/fastqc_out/BF257_S257_L001_R1_001_fastqc.zip
